Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,numberofinvestors
2017-07-27,1mg,ecommerce,onlinepharmacy,gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",privateequity,15000000,4
2017-07-28,jhakaas,consumerinternet,app-basedaggregatorofofflinebusinesses,mumbai,Amen Dhyllon,seedfunding,12031073,1
2017-07-28,bigstylist,consumerinternet,beautyservicesmarketplace,mumbai,Info Edge (India) Ltd,privateequity,1250000,1
2017-07-28,gympik,consumerinternet,onlinemarketplacefordiscoveringfitnesscentres,bangalore,RoundGlass Partners,seedfunding,12031073,1
2017-06-01,tripeur,technology,mobilebasedtravelerpplatform,bangalore,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",seedfunding,12031073,2
2017-06-02,rentongo,ecommerce,"onlinemarketplaceforrentingbikes,electronics&appliances",bangalore,TVS Motor Company,privateequity,12031073,1
2017-06-05,goomo,consumerinternet,onlinetravel&holidaybookingplatform,mumbai,Emerging India,privateequity,50000000,1
2017-06-05,maxmywealth,consumerinternet,onlinewealthmanagement&savingsplatform,mumbai,"blockchain ecosystem Global Advisors, Horseferry",privateequity,12031073,2
2017-06-06,spinny,ecommerce,onlineusedcarmarketplace,gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",privateequity,1000000,4
2017-06-06,thb,consumerinternet,healthcarediscovery&bookingplatform,kolkata,"Arun Patodia, Bharat Kedia",seedfunding,12031073,2
2017-06-06,ftcash,consumerinternet,mobilepaymentsplatform,mumbai,"500 Startups, IvyCap Ventures",privateequity,12031073,2
2017-06-06,bhive,consumerinternet,co-workingspaces,bangalore,Blume Ventures,privateequity,1200000,1
2017-06-06,wayforward,consumerinternet,mobileappformentalhealth,newdelhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",seedfunding,1000000,3
2017-06-06,gyandhan,consumerinternet,educationmarketplace,newdelhi,Sundaram Finance Holdings,privateequity,12031073,1
2017-06-06,hungryfoal,consumerinternet,forprofitsocialventure,gurgaon,SBI (Stand Up India Scheme),privateequity,12031073,1
2017-06-07,ziploan,consumerinternet,onlinelendingplatform,newdelhi,WaterBridge Ventures,seedfunding,650000,1
2017-06-07,growfit,consumerinternet,healthandfitnessdiscoveryplatform,mumbai,SQue Capital,seedfunding,600000,1
2017-06-08,stratfit,consumerinternet,healthcoachingprograms,hyderabad,Bodhtree Consulting Limited,seedfunding,232000,1
2017-06-08,multipliersolutions,technology,crmsoftwareforhealthcarespace,hyderabad,Norwest Venture Partners,privateequity,1500000,1
2017-06-08,abihealth,technology,unifieddigitalhealthplatform,bangalore,Norwest Venture Partners,privateequity,1500000,1
2017-06-08,stockal,consumerinternet,app-basedinvestmentadvisoryservices,bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",seedfunding,350000,4
2017-06-09,guidoo,consumerinternet,travel&adventureplanningplatform,mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",seedfunding,300000,6
2017-06-09,esahai.in,consumerinternet,ambulanceaggregatorandmedicaltaxiprovider,hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",seedfunding,250000,2
2017-06-12,loanmeet,consumerinternet,onlinepeer-to-peerlendingplatform,bangalore,"Cao Yibin, Huang Wei, Madhusudan E,",seedfunding,12031073,4
2017-06-12,lendingkart,consumerinternet,onlinelendingplatform,ahmedabad,Yes Bank,debtfunding,7800000,1
2017-06-12,boxx.ai,technology,artificialintelligence,bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",privateequity,500000,4
2017-06-12,peesafe.in,healthcare,hygienecareproductmanufacturer,newdelhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",privateequity,1000000,4
2017-06-12,istar,consumerinternet,onlineroomsaggregationplatform,mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",seedfunding,776000,4
2017-06-12,coverfox,consumerinternet,onlineinsurancebrokerageplatform,mumbai,Transamerica,privateequity,15000000,1
2017-06-13,hypertrack,technology,locationtrackingsolutions,newdelhi,"Nexus Venture Partners, Founders Fund",privateequity,12031073,2
2017-06-13,goodera,technology,csrandsustainabilitymanagementplatform,bangalore,"Nexus Venture Partners, Omidyar Network",privateequity,5500000,2
2017-06-13,digit,technology,techdriveninsuranceplatform,bangalore,Fairfax Holdings,privateequity,12031073,1
2017-06-14,ola,consumerinternet,cabaggregationapp,bangalore,Tekne Capital Management LLC,privateequity,50000000,1
2017-06-14,vanitycask,consumerinternet,beautyproductsdiscoveryplatform,mumbai,RB Investments,seedfunding,12031073,1
2017-06-14,mrneeds,consumerinternet,microfooddeliveryplatform,noida,undisclosed investors,seedfunding,500000,1
